abbr,en,ko
CompA,Compass bearing,나침방위
CompA,Compass deviation,나침반 자차
CompA,Compass Ross,나침도
CompA,Compressed air,
Compat,Compatibility,
Compen,Compensating Relief Valve,보정 릴리프 밸브
Compen,Compensation,
Compen,Compensator,보정기
Compl,Complete,
Compl,Complete overhaul,완전재생
Compl,Compliance,"수락, 승낙, 유연성"
Compnt,Component,구성품
Compnt,Component replacement document,구성품 교환 기록 문서
COMPOOL,Composite airplane,복합재 비행기
COMPOOL,Composite Materials,복합 재료
COMPOOL,Composite propellent,복합 추진제
COMPOOL,Composite Structure,복합 구조
COMPOOL,Compound,콤파운드
COMPOOL,Compound helicopter,복합형 헬리콥터
COMPOOL,JOVIAL communications pool,
Compr,Comparator,
Compr,Compressed Air,압축공기
Compr,Compressed gas cylinder,압축 가스 실린더
Compr,Compressed-air wind tunnel,고압 풍동
Compr,Compressibility,압축성
Compr,"Compressible Flow,","압축성 흐름,"
Compr,Compressible fluid,압축성 유체
Compr,Compression,
Compr,Compression ratio,압축비
Compr,Compression Ring,압축링
Compr,Compression stroke,압축 행정(行程)
Compr,Compression Test Rig,압축시험 리그
Compr,Compression wave,압축파
Compr,Compressor,압축기
Compr,Compressor Bleed Valve,압축기 블리드 밸브
Compr,Compressor Delievery Air Line,압축기 송출 공기 라인
Compr,Compressor Diffuser,압축기 확산기
Compr,Compressor exit,압축기 출구
Compr,Compressor Impeller,압축기 임펠러
Compr,Compressor Inlet Case,압축기 입구 케이스
Compr,Compressor inlet pressure,압축기 입구압
Compr,Compressor Inlet Temperature,압축기 입구 온도
Compr,Compressor inlet temprature transmitter,압축기 입구 온도 트렌스미터
Compr,Compressor Midframe,압축기 중앙 프레임
Compr,Compressor pressure ratio,압축기 압력비
Compr,Compressor rotor,압축기 로터
Compr,Compressor rotor blade,압축기 로터 블레이드
Compr,Compressor Section,압축기 부위
Compr,compressor speed,압축기 속도
Compr,compressor stall,압축기 실속
Compr,Compressor start bleed,압축기 시동 블리드
Compr,Compressor starter,압축기 시동기
Compr,Compressor temperature diagnostic switch,
Compr,Compressor Turbine,압축기 터빈
Compr,Compressor Turbine Shroud Housing,압축기 터빈 슈라우드 하우징
Compr,Compressor Turbine Stator Assy,압축기 터빈 스테이터 조립체
Compr,Compressor unit,압축기 유니트
Compr,Compressor variable geometry actuation,압축기 가변 지오메트리 작동
Compr,Compressor variable geometry actuator,압축기 가변 지오메트리 작동기
Compt,Compartment,
Comptr,Computer,
COMPUSEC,Computed airspeed,산출 대기속도
COMPUSEC,"Computer console, tactical","전산기 콘솔, 전술용"
COMPUSEC,Computer input/output ports,컴퓨터 입/출력 포트
COMPUSEC,Computer security,
COMS,Contractor operational and maintenance of simulators,
COMSEC,Communication security,통신 보안
Comt,Commit,
CON,Contingency,
Con,Contrast,명암
Conc,Concentric,
Conc,Conceptual design,개념설계
Concur,Concurrent,
Cond,Condensate Drain Hole,"응축물 배출구, 응축물 배유구"
Cond,Condensation level,응결고도
Cond,Condensation trail,비행기(의) 구름
Cond,Condenser,콘덴서
Cond,Condenser/Reheater Heat Exchanger,콘덴서/리히터 열교환기
Cond,Condition,
Cond,Condition monitoring,상태관찰
Cond,Conditional instability,조건부불안정
Cond,Conditioner,컨디셔너
Cond,Conduction,전도(傳導)
Cond,Conductivity,
Cond,Conductor,
Cond,Conduit,도관
CONELRAD,Control of electromagnetic radiations,
Conf,Conference,
Conf,Confidential,
CONFIG,Commutator,정류자
CONFIG,Configuration,"형상, 외장"
CONFIG,Configuration audit,형상 감사
CONFIG,Configuration Code,형상 부호
CONFIG,Confiquraion design,형상설계
CONFIG,Confiquration identification,형상 식별
CONFIG,Conformal Coating,컨포멀 코팅
CONFIG,Conical camber,원추형캠버
CONFIG,Conical nozzle,원추형노즐
CONFIG,Coning,원추<회전익>
CONFIG,Coning angle,원추각
CONFIG,Conjunction ticket,연결항공권
Conn,Connect,
Conn,Connecting Link,연결 링크
Conn,Connecting rod,커넥팅로드
Conn,Connection,"연결구, 연결부"
Conn,Connector,"연결기, 커넥터"
Conn,Connector body,"연결기 몸체, 커넥터      몸체"
Conn,Connector Nut,커넥터 너트
CONOPS,Concept of operations,작전(운용) 개념
Conr,Contract,
Cons,Consol,
Cons,Console,콘솔
Cons,Console Flood Light,콘솔 플러드 등
Cons,Console Lighting,콘솔 패널 조명
Cons,Console Matrix,콘솔 매트릭스
Cons,Console Primary Lighting,콘솔 패널 조명(Subsystem 명칭)
Cons,Consolidate,
Cons,Constant,
Cons,Constant Current,정전류
Const,Constant chord wing,직사각형 날개
Const,Constant Current,정전류
Const,Constant force,등력
Const,Constant Frequency,고정 주파수
Const,Constant Potential Mode,정전압 모드
Const,Constant Speed Control,정속 제어 장치(유니트)
Const,Constant Speed Propeller,정속 프로펠러
Const,Constant Speed Unit,정속 제어장치
Const,Construction,구조
Const,Consumable,소모성 물자
Const,Consumables,소모품
Const,Consumtion Material,소모성 자재
CONT,Content,
CONT,Continued,"지속, 계속"
CONT,Contract,
CONT,Contrast,명암
CONT,Control,
Cont C/N,Contact,"접촉자, 접점, 접촉"
Cont C/N,Contact approach,시계 접근
Cont C/N,Contact flight (flying),시계 비행
Cont C/N,Contact Fuze,접촉 신관
Cont C/N,Contact ionization,접촉 전리(電離)
Cont C/N,Contact speed,접지 속도
Cont C/N,Contactor,접촉기
Cont C/N,Container,컨테이너
Cont C/N,Container drive gearbox,컨테이너 구동기어 박스
Cont C/N,Container drive shaft,컨테이너 구동축
Cont C/N,Containment,컨테인먼트
Cont C/N,Contract code number,
Contam,Contamination,
Contam,Contamination Control,오염 제어
Contam,Contingency Phased Inspection Requirements,전시 주기검사 요구항목
Contam,Contingency rating,긴급운용 규격
Contam,Continuity Check,도통 점검
Contam,Continuity equation,연속방정식
Contam,Continuity Test,도통시험
Contam,Continuous long fiber,연속장 섬유
Contam,Continuous running wind tunnel,연속가동 풍동
Contl,Continental,
Contn,Contain,
Contn,Contour chasing,저공비행 <지형의 기복 따라>
Contr,Contra-rotation propeller,엇회전식 프로펠러
Contr,Contractor,
Contr,Contrail,"비행기(의) 구름, 비행운(雲)"
Contr,Contraprop,이중반전(二重反轉)프로펠러
Contr,Control,조절기
Contr,Control area,관제구역
Contr,Control assembly,제어기 조립체
Contr,Control box,제어 박스
Contr,Control Cable,제어 케이블
Contr,Control Circuit,제어회로
Contr,Control Circuit Card,제어회로 카드
Contr,Control column,조종간
Contr,Control force,조종력
Contr,Control Lever,제어 레버
Contr,Control Linkage,"제어 링케이지(연결체, 연결, 결합체, 결합)"
Contr,Control module,제어 모듈
Contr,Control panel,"조종반, 계기반, 제어반"
Contr,Control Servo Valve,제어 서보 밸브
Contr,Control Set,제어 세트
Contr,Control Signal,제어신호
Contr,Control Stick,조종간
Contr,Control Surface,조종면
Contr,Control system,"조종계통, 제어계통"
Contr,Control Tab,제어 탭
Contr,Control tower,관제탑
Contr,Control transfer,관제 이관
Contr,Control tube,제어 튜브
Contr,Control unit,제어 유니트
Contr,Control valve,제어 밸브
Contr,Control wheel,조종핸들
Contr,Controllability,조종성
Contr,Controllable Pitch Propeller,제어식 피치 프로펠러
Contr,Controlled airspace,관제 공역
Contr,Controlled flight,관제 비행
Contr,Controller,"제어기, 조정기, 조절기"
CONUS,Continental United States,미 대륙
Conv,Convection cooling,대류(對流)냉각
Conv,Conventional Adhesive Spreader,일반 접착제 스프레더
Conv,Conventional aircraft,재래식 항공기
Conv,Conventional Munition,재래식 탄약
Conv,"Conventional Stores (weapons, bombs)","재래식 장착물 (무장, 폭탄)"
Conv,Conventional weapons,재래식 무기
Conv,Convergent Divergent Inlet Duct,수축 확산형 흡입덕트
Conv,Convergent-divergent nozzle,수축 확산노즐
Conv,Conversion,변환
Conv,Convert,
Conv,Convert plane,전환식 항공기
Conv,Converter,변환기
Conv,Convertiplane,전환식 항공기
Conv,Conveyor,컨베이어
Conv,Conveyor element,콘베어 엘리먼트
Conv,Conveyor Element Belt,컨베어 엘리먼트   벨트
Conv,Convoluted teflon,두루마리식 테프론
COOL,Cooling,냉각
Cool.,Coolant,
Cool.,Coolant tank,냉각 탱크
Cool.,Coolant temperature indicator,냉각액 온도계
Cool.,Cooler,냉각기
Cool.,Cooling,냉각
Cool.,Cooling Air,냉각 공기
Cool.,Cooling Coil,냉각 코일
Cool.,Cooling drag,냉각 항력
Cool.,Cooling Effect Sensor,냉각효과 감지기
Cool.,Cooling Fan,냉각팬
Cool.,Cooling system,냉각계통
Cool.,Cooling Turbine,냉각 터빈
Cool.,Cooperative research and development,협동 연구개발
Coord,Coordinate,
Coord,Coordinate system,좌표계
Coord,Coordinated Flight,조정 비행
Coord,Coordination turn,정상 선회
COP,Change over point,교체점
Cop.,Copper,
COPAR,Copilot,부조종사
COPAR,Copper Braid Conductor,동선 도체
COPAR,Corrective or preventive action report,
COPR,Coproduction,공동 생산
COPR,Cruise overall pressure ratio,순항 전 압력비
COPT,Cost of operational performance trades,운용 성능 상쇄 비용
Copy,I read you,알았음 (무선 음성부호)
COQ,Cost of quality,
COR,Contractor operating review,
Cor,Cord,"코드, 끈"
Cor,Cordage assembly,연장줄 조립체(전기)
Cor,Corner,
CORDIC,Coordinate rotation digital computer,
CORE,Coherent optical receiver engineering,결합 광학 수신기공학
CORE,Contractor operations review/evaluation,
CORE,Core,코어
CORE,Core engine speed,코아 엔진속도
CORE,Core Memory,코어 메모리
CORE,Core memory unit,코어 기억 장치 (유니트)
CORE,Core metering valve differential pressure,코아 계량 밸브 차압
CORE,Core Speed,코아 속도
CORE,Core total fuel flow,코아 총연료 흐름
CORE,Cost-oriented resource estimating,
Corg,Coriolis' force,코리올리 힘
Corg,Corner,코너
Corg,Corrugated,
Corp,Corporation,
Corr,Correct corrosion corrugate correspondent correction,
CORR,Corrected altitude,수정 고도
CORR,Corrected brake horsepower,수정 제동마력
CORR,Corrected engine speed,수정엔진 회전속도
CORR,Corrected intake air flow,수정흡입 공기유량
CORR,Correction,"시정, 수정"
CORR,Correction factor,수정계수
CORR,Corrective action,시정 조치
CORR,Corridor,"설정 비행로, 회랑(回廊)"
CORR,Corroded Area,부식 부위
CORR,Corrosion,부식
CORR,Corrosion and oxidation stability test,부식 산화안정도
CORR,Corrosion control manual,방부처리교범
CORR,Corrosion Control Specialist,방부(부식)    처리 전문가
CORR,Corrosion fatigue,부식 피로
CORR,Corrosion Inhibitor,부식 방지제
CORR,Corrosion Preventive Compound,부식 방지 콤파운드
CORR,Corrosion Removal,부식 제거
CORR,Corrosion remover,부식 제거제
CORR,Corrosion resistant Steel,내부식강
CORR,Corrosion treatment,부식 처리
CORR,Corrosive Fume,부식성 매연(연기)
CORT,Combat operational readiness training,
COS,Corporation for open systems,
COS,Cosine,
COSATI,Category of subject and technical item,
Cosh,Cosmic jet,우주제트
Cosh,Cosmic noise,우주 잡음
Cosh,Cosmic radio,우주 전파
Cosh,Cosmic ray,우주선(線)
Cosh,Cosmic speed,우주 속도
Cosh,Cosmonaut,우주비행사
Cosh,Hyperbolic cosine,
COST,Congressional office of science and technology,
COT,Current operating time,
COT&E,"Contractor operation, test, and evaluation","계약자 운용, 시험 및 평가"
Cot.,Cotangent,
Cot.,Cotter,
Cot.,Cotton,
COTAR,Correction tracking and ranging,
COTG,Component tooling gage,
Coth,Hyperbolic cotangent,
COTS,Commercial off the shelf,상용 기존 개발품
Coup,Coupled flutter,연성플러터
Coup,Coupled Position,결합 위치
Coup,Coupler,커플러
Coup,Coupling,커플링
Coup,Course Counter,경로 카운터
Coup,Course Deviation,경로 편차
Coup,Course deviation indicator,방향 편류지시계
Coup,Course Deviation Indicator,경로 편차 지시계
Coup,Course Error,경로 오류
Coup,Course Line,경로선
Coup,Course line,항로
Coup,Course Pointer,경로 포인터
Coup,Course Select Knob,경로 선택 노브
COV,Composite covering,
COV,Cone of vision,원추 시야구역
Cov,Cover,
Cov,Cover skin,항공기 외피
COW,Cost of work,작업 비용
Cowl,Cowl,"덮개<엔진, 장치>"
Cowl,Cowl flap,"카울, 플랩"
Cowl,Cowling,"카울링, 엔진덮개"
CP,Candlepower,
CP,Center of pressure,압력 중심
CP,Centipoise (measure of viscosity),
CP,Change proposal,
CP,Chemically pure,
CP,Circular pitch,
CP,Circular polarization,
CP,CNI processing,
CP,Co-pilot,부조종사
CP,Combat persistence,
CP,Command post,
CP,Constant pressure,"정압, 불변 압력, 일정 압력, 등압"
CP,Control panel,
CP,Controllable pitch,조종 피치
CP,"Convair, pomona",
CP,Copy,
CP,CORE processing,
CP,Cost plus,
CP,Critical point,임계점
CP,Cycle plan,
CP,Pressure coefficient,압력 계수
CP,Propeller power coefficient,프로펠러 동력계수
CP,Specific fuel consumption (piston),비연료 소비율 (피스톤)
CP,Specific heat at constant pressure,정압 비열
CP/M,Control program for microprocessors,
CP3,Career progression planning program,
CPA,Closest point of approach,최근접점
CPA,Computer program administrator,
CPA,Cooperative planning activity,
CPA,Cost planning and appraisal,
CPA,Cost/performance analysis,비용/성능 해석
CPAB,Corrosion Prevention Advisory Board,부식방지 조정위원회
CPAF,Cost plus award fee,
CPAR,Contractor performance assessment report,
CPARS,Contractor performance assessment reporting system,
CPAW,Cost plus award fee,
Cpbl,Capability,
CPC,Card-programmed calculator,
CPC,Computer program component,
CPC,Concurrent production code,동시 생산 부호
CPC,Control panel chassis,
CPCI,Computer program configuration item,컴퓨터 프로그램 형상품목
CPCM,Computer program control master,
CPCS,Cabin pressure control system,객실 여압 조절계통
CPCS,Coproducer contract support,
CPDB,Consolidated product data base,
CPDIS,Cost performance data information system,
CPDLC,Controller pilot data link communication,제어기/조종사 자료 링크 통신
CPDP,Computer program development plan,
CPDS,Computer program development specifications,컴퓨터프로그램 개발규격
CPDU,Central processor distribution unit,
CPE,Computer program evaluation,컴퓨터 프로그램 평가
CPE,Contractor preliminary evaluation,
CPF,Central proposal file,
CPFF,Cost plus fixed fee,
CPFR,Cost performance financial review,
CPI,Characters per inch,
CPI,Contractor performance inspection,계약자 업무수행 감사
CPI,Cost performance index,
CPIEMC,China precision machinery import/export corp (aircraft),
CPIF,Cost plus incentive fee,
CPIN,Computer program identification number,컴퓨터프로그램 식별번호
CPL,Caution panel,
CPL,Certified professional logistician,
CPL,Corporal (with name),
CPL,Corporate price list,
CPL,Crew procedures laboratory,
Cplg,Coupling,
Cplr,Coupler,
CPM,Computer program module,컴퓨터 프로그램 모듈
CPM,Continuous performance monitoring,
CPM,Cost performance measurement,비용 성능 측정
CPM,Crash protected memory,사고 보호 메모리
CPM,Critical path method,주공정 관리기법
CPM,Cycles per minute,
CPM/PERT,Critical path method/program     evaluation and review technique,
CPMIS,Civilian personnel management system,
CPMPL,"Contractor selected parts, materials and processes list",
CPO,Chief petty officer (navy),
CPO,Cost proposal outline,
CPOD,Cost per order dollar,
CPP,Corporate policies and procedures,
CPP,Cost per passenger,승객당 비용
CPPC,Cost-plus-percentage-of-cost,
CPPR,Computer program problem report,
CPPS,Computer program product specifications,컴퓨터프로그램 생산규격
CPR,Cabin Pressure Regulator,조종실 여압 조절기
CPR,Component pilot repair,
CPR,Compressor discharge ratio,압축기 방전율
CPR,Contract performance requirement,
CPR,Cost performance report,비용 성능보고서
CPRI,Component pilot repair item,
CPRS,Computer program requirements specification,
CPS,Central processing system,
CPS,Characters per second,
CPS,Contract performance specification,
CPS,Contractor procurement system,
CPS,Control pressure systems,제어 압력 시스템
CPS,Cycles per Second,초당 사이클
CPS AC,Cycles per second/alternating current,
CPSU,Communist party of the soviet union,
CPT,Captain (with name),
CPT,Cockpit procedures trainer,조종실절차 훈련장비
CPT,Computer program test,컴퓨터프로그램 시험
CPT,Cost planning and tracking,
CPT,Critical process team,
CPT&E,Computer program test and evaluation,
CPTF,Cold proof test facility,
CPTS,Critical parts trace system,주요 부품 이력관리
CPU,Central processor(ing) unit,중앙처리 장치(유니트)
CPU,Control display unit,조종시현장치
CPW,Characters per word,
CPW,Color programmable display generator,
CPX,Command post exercise,
CQ,Torque coefficient,토크 계수
CQI,Continuous quality improvement,
CR,Carriage return,
CR,Cathode ray,음극선
CR,Change request,변경 요구
CR,Chromium,
CR,Clarification request,
CR,Classified register,
CR,Classroom,
CR,Cold rolled,
CR,Combat-ready,
CR,Contraction ratio,(면적) 수축률
CR,Cost reimbursement,
CR,Crash recorder,
CR,Credit requisition,
CR,Cruise,순항
CR,Cruise configuration,순항 형상
CR,Mil Circular mil,
CR,Mo Chromium molybdenum,
CR,Resultant force coefficient,합력 계수
CR,Root chord,뿌리 시위
CR CH,"Crew,","승무원, 운용자, 조종사"
Cr V,Chrome vanadium,
Cr/m,Crack,균열
Cr/m,Crack Detection,균열 탐지
Cr/m,Cracking Pressure,균열 압력
Cr/m,Crew member,
CRAD,Contract research and development,
CRAD,Cradle,크레들
CRAD,"Cradle Assy, Radome-Handling",레이돔 고정용 받침대
CRAF,Civil reserve air fleet,시민 예비 항공대
CRAF,Common affordable light-weight fighter,공통 다용도 경전투기
CRAFT,Cycle reporting and fatigue tracking,
CRAG,Combat readiness air group,
CRAG,Crane,크레인
CRAG,Crane arm,크레인 아암
CRAG,Crane Hoist,크레인 호이스트
CRAG,Crank,크랭크
CRAG,Crank case,크랭크 케이스
CRAG,Crank case filter,크랭크 케이스 여과기
CRAG,Crank shaft,크랭크축
CRAG,Cranking Speed,크랭킹 속도
CRAS,Composite radar absorbing structure,복합재 전자파 흡수구조
CRASAF,Crash landing,파손 착륙
CRASAF,Crash Repair,충돌 수리
CRASAF,Crash Safety,충돌 안정도
CRASAF,Customer requirements and support   action form,
CRAT,Contraction ratio,계약율
CRAT,Crater,"크레이터, 구멍"
CRAT,Cratering,화구 효과
CRB,Change review board,변경 검토위원회
CRB,Configuration review board,
CRC,Control and repair center,
CRC,Control reporting center,중앙 방공 통제소
CRC,Cyclic redundancy check(sum),
CRC,Cyclic redundancy code,
CRCC,Cyclic redundant check character,
CRDBS,Course resolution doppler beam sharpening,
CRe,Corrosion-resistant,
CREF,Cross reference,
CREM,Corner rounding end mill,
CRES,Corrosion-resistant steel,
CRES,Crescent wing,초승달형 날개
CRES,Crevice Corrosion,틈새 부식
CRES,Crew,승무원
CRES,Crew Compartment Matrix Assy,조종실 격실 메트릭스 조립체
CRES,Crew matrix,조종실 메트릭스
CRES,Crew station,조종실
CRF,Composite rejection form,
Crg,Carriage,
Cri,Crimp,크림프
Cri,Crimp Lock Fastener,크림프 잠금 패스너
Cri,Crimping Tool,크림핑 공구
Cri,Crip,크립
Cri,Criteria,
CRISD,Computer resources integrated support document,컴퓨터 자원통합 지원문서
CRISP,Computer reconstructed images from  scene photographs,
CRISP,Computer resources integrated       support plan,
CRISP,Critical altitude,임계고도
CRISP,Critical Angle,임계각
CRISP,Critical Area,임계부
CRISP,Critical defect,치명적(임계) 결함
CRISP,Critical eleven minutes,위험한 11분간<착륙전 8분/착륙후 3분의>
CRISP,Critical engine,임계엔진
CRISP,Critical engine failure speed,임계 이륙속도
CRISP,Critical Item,긴요 품목
CRISP,Critical mach number,임계 마하수
CRISP,Critical Reynolds number,임계레이놀즈 수
CRISP,Critical technology,핵심기술
CRIU,Conventional remote interface unit,
CRIU,Conventional weapons RIU,
CRJ,Continuous wave acquisition radar,지속파 포착레이더
Crkc,Crankcase,
CRLCMP,Computer resources life cycle management plan,컴퓨터 자원 수명 주기 관리계획(서)
CRM,Change request material,
CRM,Combined radar mode,통합 레이더       모드
CRM,Contract responsibility matrix,
CRM,Counter radar measures,레이더 방해책
CRM,Crew resource management,승무원 자원  관리
Crmn,Crewman,
CRO,Cathode-ray oscillograph,
CRO,Crocus Cloth,크로커스 천
CROM,Control read only memory,제어 판독 전용 메모리
CROM,Cross,크로스
CROM,Cross Crab,측풍 경사류(바람에 대한)
CROM,Cross Drift,측풍 편류(바람에 대한)
CROM,Cross effect,교차 효과
CROM,Cross runway,교차 활주로
CROM,Cross wind,"측풍(側風), 옆바람"
CROM,Cross wind leg,측풍 경로
CROM,Crosslinking,가교(架橋)
CROM,Crowfoot Adaptor,크로우풋 어댑터
CROM,Crowning,크라우닝
CRP,Capacity requirement planning,요구능력 계획
CRP,Carbon-fibre reinforced plastics,탄소 섬유강화 플라스틱
CRP,Control and reporting center,
CRP,Control and reporting post,
CRP,Controlled reception pattern,제어식 수신패턴
CRPA,Controlled reception pattern antenna,제어식 수신 패턴 안테나
CRPM,Component revolutions per minute,
CRQ,Current requirements,
CRRL,Contour rolls,
CRS,Calibration requirements summaries,
CRS,Cold-rolled steel,
CRS,Component (or composite) repair squadron,
CRS,Countermeasures receiving set,
Crs line,Course line,
Crs sel nav,Course select navigation,
CRS(CRSE),Course,경로
CRSE,Course,경로
CRSS,Commercial remote sensing satellite,상업용 원격탐사위성
CRT,Cathode ray tube,음극선관
CRT,Circuit,
CRT,Cockpit review team,조종실 평가팀
CRT,Combat readiness trainer,작전 가능 훈련기
CRT,Combat readiness training,전환 및 작전가능훈련
CRT,Combat-rated thrust,
CRU,Contracts record unit,
Cruis,Cruise missile,순항 미사일
Cruis,Cruise Power,순항 출력
Cruis,Cruise Speed,순항 속도
Cruis,Cruising,
Cruis,Cruising Altitude,순항 고도
Cruis,Cruising level,순항 고도
Cruis,Cruising power,순항 출력
Cruis,Cruising speed,순항 속도
Crus,Cruise,
CRUS,Cruise,순항
CRV,Canadian rocket vehicle,
CRV7,Canadian rocket vehicle 7,★
CRWES,Controlled release weapon ejection system,
CRWG,Computer resources working group,전산자원 관리그룹
CRWG,Cryogenic Gas,저온 가스
CRWG,Cryogenic propellant,극저온 추진제
CRWG,Cryogenic wind tunnel,극저온 풍동
CRWG,Crystal Detector,수정 탐지기
CS,Caesium,
CS,Center section,
CS,Centistrokes,
CS,Certification standard,인증 표준
CS,Chip select,칩 선택
CS,Combat support,작전 지원
CS,Commercial sales,상용 판매
CS,Commit stop,
CS,Common and standard items,
CS,Competitive strategies,
CS,Component specification,
CS,Computer science,컴퓨터 과학
CS,Computer strobe,
CS,Constant speed,정속
CS,Contigency support,지속 지원
CS,Control section,
CS,Control surface,
CS,Converter set,
CS,Cost sharing,
CS,Cycles per second,초당 주파수(Hz)
CS,Propeller speed power coefficient,프로펠러 속도 동력계수
CS&E,Crew station and escape,조종실 및 탈출
CS/PCS,Obsolete (replaced by c/scs),
CSA,Canadian standards association,
CSA,Center Stick Controller,중앙스틱제어기
CSA,Common storage area,
CSA,Competition sensitivity analysis,
CSA,Computer system architecture,
CSA,Configuration status accounting,형상 상태 감사
CSA,Contractor service action,
CSA,Control stick assembly,
CSA,CONTROL STICK ASSEMBLY,조종 스틱 결합체
CSA,Control switch assembly,
CSA,Correlation score array,
CSAF,"Chief of staff, air force",공군 참모총장
CSAR,Configuration status accounting report,형상 현황 평가보고서
CSAS,Command stability augmentation system,조종안정성 증대 계통
CSAS,Configuration status accounting system,
CSB,Centralized support base,
CSBPC,Control-stick boost and pitch compensator,조종간 부스트 및 피치 보상기
CSC,Central security control,
CSC,Computer sciences corporation,
CSC,Computer software component,컴퓨터 소프트웨어 구성요소
CSC,Cosecant,
CSC,Course and speed calculator,방향 및 속도 계산기
CSC,Courseware support center,교보재 지원 센터
CSC,Customer service center,
CSCI,Computer software configuration items,컴퓨터 소프트웨어 형상품목
CSCMP,Computer software configuration management plan,
CSD,Communications-computer system directive,통신-컴퓨터 체계지침
CSD,Constant speed drive,정속 구동
CSD,Constant speed drive unit,정속 구동장치
CSDA,Crew station design aid,조종실 설계 보조
CSDE,Central servicing development establishment,
CSDE/RIU,Central servicing development establishment/radio introduction unit,
CSDM,Computer system diagnostics manual,컴퓨터체계 진단지침서
CSE,Common student errors,학생 공통과실
CSE,Common support equipment,공통 지원장비
CSEF,Crew station evaluation facility,
CSEL,Consolidated support equipment list,
CSF,Cockpit simulator facility,조종실 시뮬레이션 시설
CSFDR,Crash survivable flight data recorder,사고보존 비행기록장치
CSG,Cartridge storage case,
CSG,Configuration steering group,
CSG,Constant-speed generator,정속 발전기
CSH,Combat support helicopter,전투지원헬기
Cshaft,Crankshaft,
CSI,Computer systems interface,
CSI,Contractor standard item,계약자 표준 품목
CSIR,Council for scientific and industrial research,과학/산업 연구위원회 (濠洲)
CSIRS,Covert survivable in-weather reconnaissance/strike (fighter),
CSIWG,Computer systems integration       working group,
Csk,Countersink,
Csl,Console,
CSLB,Control Stick Locking Bar,조종간고정바
CSLC,Coherent sidelobe cancellation,코히런트 부엽 상쇄
CSM,Combustion stabilization monitor,연소 안정 모니터
CSM,Contract security manager,
CSM,Crash survivable memory,사고보존 메모리
CSMA,Carrier-sense multiple access,
CSMA/CD,Carrier-sense multiple access with  Collision detection,
CSMS,Contractor supply and maintenance  services,
CSMU,Crash survivable memory unit,사고상황 기억장치
CSN,Control symbol number,
CSND,Convair stock number description,
CSO,Central sign off,
CSOM,Computer system operator's manual,컴퓨터체계 운용자 지침서
CSORO,Conical scan on receive only,수신 전용 원뿔형 조사(照射)
CSP,Concurrent spare parts,동시조달 예비 부품
CSP,Contractor support program,계약자 지원 프로그램
CSP,Corporation standard practice,
CSPA,Contractor support for program assistance,
CSPS,Contractor support for program shortfalls,
CSR,Course status report,
CSRT,Crew station review team,조종실 검토팀
CSS,Center spar station,
CSS,Cockpit system simulator,조종실 시스템 시뮬레이터
CSS,Coded switch set,
CSS,Comprehensive software support,
CSS,Computer support station,
CSS,Contractor's storage site,
CSS,Control stick steering,조종간 조향제어
CSS,Corporate shareholder system,
CSS,Courseware support system,교보재 지원 체계
CSS,Customer support service,
CSSA,Central supply support activity   (contractor's plant),
CSSA,Customer support services agreement,
CSSC,Coded switch set controller,
CSSC,Coded switch set coupler,
CSSI,Coarse sun sensor assembly,저정밀 태양 센서
CSSP,Customer standard settlement program,
CSSR,Cost schedule status report,비용 일정 상태 보고서
CST,Central standard time,
CST,Code segment table,
CST,Combined system test,
CST,Continuous self-test,
CSTCTO,Country standard time compliance  technical order,
Cstg,Casting,
CSTI,Control surface tie-in,
CSTO,Country Standard Technical Order,국가 표준기술도서
Cstrb,Computer strobe,
CSTS,Computer science time sharing,
CSU,Computer software unit,
CSV,Command Selector Valve,명령 선택밸브
CT,Catapult takeoff,
CT,Central timing,
CT,Compatibility testing,
CT,Continuation training,연속 훈련
CT,Contrast threshold,
CT,Control transformer,
CT,Current test,전류시험
CT,Current transformer,변류기
CT,Cushioning thickness,
CT,Thrust coefficient,추력 계수
CT,Tip chord,익단 시위
CT/SC,Coordinate transformation/scan Converter,
CtA,Control area,
CTA,Current Transformer Assembly,변류기 조립체
CTAF,Common traffic advisory frequency,일반 항공관제 자문 주파수
CTB,Computer time base,
CTC,Combat training center,전투훈련센터
CTC,Contract target cost,
CTC,Contract task change(s),
CTC,Cost to complete,
CTCB,Contract technical compliance board,
CTCI,Contract (or customer) technical Compliance inspection,
CTCP,Contract task change proposal,
Ctd,Coated,
CTEA,Cost and training effectiveness analysis,비용 및 훈련효과도 분석
CTF,Central test facility,
CTF,Central tracking facility,
CTF,Combined test force,
CTF0V,"Center, Total Field-of-view","중앙, 전체 관측 필드(시야각)"
Ctg,Cartridge,
Ctg,Counting,
CTI,Contractor technical instructor,
CTK,Composite tool kit,
CTK,Consolidated tool kit,
CTL,Certified tool list,
CTL,Commit to launch,
Ctl,Control,
CTM,Component test memo,
CTM,Contract termination manual,
CTM,Contractor technical meeting,
CTM,Corner turn memory,
CTMIP,CALS technical manual implementation  plan,
CTN,CALS test network,
CTOA,Central technical order administration,
CTOC,Cartridge table of contents,
CtoC,Center to center,
CTOCU,Central technical order control unit,
CTOL,Conventional take-off and landing plane,재래식 이착륙 항공기
CTP,Chief test pilot,수석시험 비행조종사
CTP,Contract target price,
CTP,Coordinated test program,공조시험 계획
CTR,Calendar time replacement,
Ctr,Center,
CTR,Consolidated training request,
CTR,Constant track release,
Ctr,Contour,
